# file...... feeder_power.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... transformer 29
# trigger... (none)
# interval.. 60
# limit..... 9600
# timestamp,power_in.real,power_in.imag
2000-09-01 06:35:00 PDT,+4.66243e+006,+51043
2000-09-01 06:36:00 PDT,+4.67162e+006,+52402.3
2000-09-01 06:37:00 PDT,+4.71743e+006,+64525.8
2000-09-01 06:38:00 PDT,+4.70193e+006,+66581.9
2000-09-01 06:39:00 PDT,+4.70778e+006,+67628.8
2000-09-01 06:40:00 PDT,+4.75547e+006,+80605.2
2000-09-01 06:41:00 PDT,+4.75966e+006,+85536.2
2000-09-01 06:42:00 PDT,+4.79897e+006,+90052.3
2000-09-01 06:43:00 PDT,+4.7973e+006,+93657.3
2000-09-01 06:44:00 PDT,+4.8187e+006,+96647.3
2000-09-01 06:45:00 PDT,+4.77263e+006,+84769.7
2000-09-01 06:46:00 PDT,+4.77249e+006,+86649.7
2000-09-01 06:47:00 PDT,+4.76865e+006,+85997.3
2000-09-01 06:48:00 PDT,+4.78469e+006,+92206.4
2000-09-01 06:49:00 PDT,+4.77738e+006,+91409.3
2000-09-01 06:50:00 PDT,+4.75904e+006,+89300.3
2000-09-01 06:51:00 PDT,+4.80676e+006,+99073.5
2000-09-01 06:52:00 PDT,+4.82482e+006,+101899
2000-09-01 06:53:00 PDT,+4.76639e+006,+91578.9
2000-09-01 06:54:00 PDT,+4.74437e+006,+86936.3
2000-09-01 06:55:00 PDT,+4.73073e+006,+82175.1
2000-09-01 06:56:00 PDT,+4.79838e+006,+100803
2000-09-01 06:57:00 PDT,+4.85534e+006,+112198
2000-09-01 06:58:00 PDT,+4.87954e+006,+123499
2000-09-01 06:59:00 PDT,+4.83609e+006,+113986
2000-09-01 07:00:00 PDT,+4.82338e+006,+111453
2000-09-01 07:01:00 PDT,+4.81204e+006,+108718
2000-09-01 07:02:00 PDT,+4.8074e+006,+109906
2000-09-01 07:03:00 PDT,+4.81964e+006,+117008
2000-09-01 07:04:00 PDT,+4.8621e+006,+124274
2000-09-01 07:05:00 PDT,+4.8394e+006,+118095
2000-09-01 07:06:00 PDT,+4.82335e+006,+112006
2000-09-01 07:07:00 PDT,+4.79716e+006,+104595
2000-09-01 07:08:00 PDT,+4.78095e+006,+99721.8
2000-09-01 07:09:00 PDT,+4.74902e+006,+99203
2000-09-01 07:10:00 PDT,+4.79999e+006,+112184
